inpro,incity,outpro,outcity,cargo
上海,长宁区,安徽,铜陵市,0.639732796
四川,乐山市,安徽,六安市,0.837294595
福建,泉州市,安徽,合肥市,0.78077411
重庆,巫溪县,安徽,六安市,0.971436606
陕西,咸阳市,安徽,马鞍山市,0.941103768
青海,西宁市,安徽,池州市,0.940195292
上海,嘉定区,安徽,淮南市,0.430119311
北京,房山区,安徽,宿州市,0.943294437
北京,石景山区,安徽,阜阳市,0.861513498
安徽,合肥市,安徽,合肥市,0.230040342
重庆,大渡口区,安徽,芜湖市,0.43219912
陕西,延安市,安徽,宿州市,0.951556071
广东,汕头市,安徽,六安市,0.463693159
广西,柳州市,安徽,黄山市,0.67117071
新疆,石河子市,安徽,亳州市,0.253091581
江苏,连云港市,安徽,淮北市,0.539391857
重庆,南川区,安徽,合肥市,0.548174309
重庆,秀山县,安徽,蚌埠市,0.519275913
上海,闵行区,安徽,池州市,0.085778947
安徽,滁州市,安徽,淮北市,0.946739457
广东,汕尾市,安徽,合肥市,0.417762166
广东,阳江市,安徽,芜湖市,0.733549218
湖南,湘西州,安徽,淮南市,0.205416595
甘肃,金昌市,安徽,滁州市,0.026126419
重庆,荣昌区,安徽,宣城市,0.590242282
吉林,白山市,安徽,滁州市,0.030112181
天津,河北区,安徽,蚌埠市,0.548032047
天津,津南区,安徽,宿州市,0.557852248
海南,陵水县,安徽,黄山市,0.803389209
湖北,十堰市,安徽,六安市,0.017972582
重庆,潼南区,安徽,安庆市,0.695540871
陕西,汉中市,安徽,六安市,0.621324518
安徽,合肥市,安徽,亳州市,0.244948152
山东,淄博市,安徽,滁州市,0.585990728
广西,北海市,安徽,淮南市,0.867396956
广西,百色市,安徽,合肥市,0.172677834
浙江,宁波市,安徽,芜湖市,0.933698552
海南,三沙市,安徽,淮北市,0.378872151
甘肃,陇南市,安徽,黄山市,0.88808917
西藏,昌都地区,安徽,蚌埠市,0.723819341
北京,怀柔区,安徽,亳州市,0.502378812
江西,抚州市,安徽,淮北市,0.803623418
上海,崇明区,安徽,宿州市,0.686917322
新疆,昆玉市,安徽,阜阳市,0.463307535
甘肃,酒泉市,安徽,阜阳市,0.531359945
广西,钦州市,安徽,滁州市,0.406296458
贵州,黔东南州,安徽,亳州市,0.566273045
上海,青浦区,安徽,池州市,0.002383009
广西,百色市,安徽,六安市,0.606809912
湖北,宜昌市,安徽,宿州市,0.00356827
重庆,江津区,安徽,滁州市,0.27093727
天津,大港区,安徽,宣城市,0.533246379
河北,廊坊市,安徽,池州市,0.459750392
湖南,怀化市,安徽,宿州市,0.816330804
福建,厦门市,安徽,宣城市,0.681135995
贵州,黔东南州,安徽,宣城市,0.907318084
陕西,咸阳市,安徽,宿州市,0.508841221
上海,嘉定区,安徽,铜陵市,0.663467297
北京,门头沟,安徽,淮南市,0.216538615
河北,石家庄市,安徽,池州市,0.446906492
浙江,宁波市,安徽,亳州市,0.149100716
浙江,金华市,安徽,蚌埠市,0.482305281
海南,五指山市,安徽,淮北市,0.896010288
辽宁,本溪市,安徽,宣城市,0.945144245
重庆,九龙坡区,安徽,蚌埠市,0.17922617
重庆,武隆区,安徽,宣城市,0.87216589
吉林,四平市,安徽,池州市,0.141383061
河北,承德市,安徽,合肥市,0.514161229
湖北,随州市,安徽,合肥市,0.297532142
湖南,娄底市,安徽,淮南市,0.172684782
湖南,湘西州,安徽,亳州市,0.406724697
湖南,湘西州,安徽,池州市,0.817039255
陕西,汉中市,安徽,淮南市,0.821064337
上海,杨浦区,安徽,蚌埠市,0.86427131
山西,朔州市,安徽,安庆市,0.942515913
广西,防城港市,安徽,黄山市,0.401213521
新疆,克孜勒苏柯尔克孜自治州,安徽,蚌埠市,0.075792152
海南,屯昌县,安徽,宿州市,0.655232545
辽宁,阜新市,安徽,黄山市,0.691349382
上海,青浦区,安徽,合肥市,0.64515713
云南,文山州,安徽,蚌埠市,0.666969045
广西,南宁市,安徽,六安市,0.395100383
江苏,泰州市,安徽,蚌埠市,0.210587176
江西,赣州市,安徽,铜陵市,0.871361686
四川,乐山市,安徽,合肥市,0.553281112
广西,百色市,安徽,铜陵市,0.644156992
新疆,克孜勒苏柯尔克孜自治州,安徽,蚌埠市,0.718245999
新疆,和田地区,安徽,宿州市,0.446475391
港澳,澳门特别行政区,安徽,亳州市,0.645187611
内蒙古,巴彦淖尔市,安徽,淮北市,0.377474931
北京,大兴区,安徽,阜阳市,0.584639362
新疆,吐鲁番地区,安徽,宣城市,0.678288529
西藏,拉萨市,安徽,阜阳市,0.019109409
陕西,西安市,安徽,安庆市,0.782364197
吉林,白山市,安徽,安庆市,0.294761133
四川,遂宁市,安徽,池州市,0.513614013
安徽,六安市,安徽,滁州市,0.470070442
新疆,塔城地区,安徽,池州市,0.700494199
新疆,阿克苏地区,安徽,安庆市,0.435448269
福建,龙岩市,安徽,安庆市,0.067114996
重庆,九龙坡区,安徽,安庆市,0.761988218
重庆,石柱县,安徽,铜陵市,0.140452215
上海,嘉定区,安徽,合肥市,0.099591978
内蒙古,呼和浩特市,安徽,马鞍山市,0.6145661
山东,莱芜市,安徽,阜阳市,0.588685106
新疆,阿克苏地区,安徽,六安市,0.044882555
湖北,荆州市,安徽,马鞍山市,0.567551776
重庆,渝北区,安徽,淮南市,0.10466635
陕西,商洛市,安徽,宣城市,0.101014209
江西,鹰潭市,安徽,宣城市,0.358070104
