in_province,in_city,out_province,out_city,交通和通信,其他用品和服务,医疗保健,教育、文化和娱乐,生活用品及服务,衣着,食品烟酒
上海,嘉定区,上海,上海,0.503002255,0.948779535,0.021564189,0.398252298,0.580661997,0.393174107,0.120082724
上海,嘉定区,云南,大理,0,0,0,0.148958155,0,0,0
上海,嘉定区,内蒙古,呼和浩特,0,0,0,0.681175455,0.169007209,0,0
上海,嘉定区,内蒙古,赤峰,0.252394547,0,0,0,0,0,0
上海,嘉定区,北京,北京,0.363665929,0.504980575,0.603227054,0.660732761,0.542736077,0.690331318,0.752121568
上海,嘉定区,吉林,长春,0,0,0,0.379924884,0.777482344,0,0
上海,嘉定区,四川,德阳,0,0.674953947,0.402904113,0,0.007542626,0,0.601255356
上海,嘉定区,四川,成都,0.620535866,0.703698469,0.323936634,0.426140102,0.643642558,0.839436366,0.562126995
上海,嘉定区,天津,天津,0.119505076,0.807379273,0.533796652,0.411004852,0.73073737,0,0.010603663
上海,嘉定区,安徽,合肥,0,0,0,0.651562094,0,0.033089017,0
上海,嘉定区,山东,德州,0.009368914,0.116598553,0.542992877,0.19391987,0.446395109,0.820557926,0.48399206
上海,嘉定区,山东,济南,0.109202343,0.978100753,0,0.311608205,0.339288526,0,0.788150379
上海,嘉定区,山东,青岛,0,0,0.001578545,0,0,0,0
上海,嘉定区,山西,临汾,0.954710574,0,0,0.763188608,0.557679752,0,0
上海,嘉定区,山西,大同,0,0,0,0.018523432,0,0,0
上海,嘉定区,广东,东莞,0,0.941135061,0,0.655205849,0.183167582,0,0.119920667
上海,嘉定区,广东,佛山,0,0.234004389,0,0.824851622,0.691314258,0,0.47115335
上海,嘉定区,广东,广州,0.967681648,0.436855034,0.609241865,0.610858389,0.478031152,0.489603152,0.788462994
上海,嘉定区,广东,惠州,0,0,0.303345994,0.928133308,0,0,0
上海,嘉定区,广西,柳州,0,0,0,0,0.483785334,0,0
上海,嘉定区,新疆,乌鲁木齐,0,0,0,0.809636473,0.965954708,0,0.859268989
上海,嘉定区,江苏,南京,0.56726373,0,0.923028641,0.927732982,0,0,0
上海,嘉定区,江苏,南通,0,0.014086,0,0,0,0,0
上海,嘉定区,江苏,宿迁,0.120626254,0,0.392927809,0.579001833,0,0,0.419077428
上海,嘉定区,江苏,无锡,0,0,0,0,0,0,0.630695107
上海,嘉定区,江苏,泰州,0,0,0,0.141015703,0,0,0
上海,嘉定区,江苏,苏州,0.815511676,0.37141724,0.91439152,0.653452393,0.472212881,0.218357596,0.383808059
上海,嘉定区,江西,南昌,0,0.852585671,0,0.762639905,0.29330798,0.128249954,0
上海,嘉定区,河北,唐山,0,0,0,0.109669786,0,0,0
上海,嘉定区,河北,廊坊,0.689678793,0.460334282,0,0.052361031,0.055136427,0.589956158,0.99567835
上海,嘉定区,河北,张家口,0.555460892,0,0,0.86421839,0.99563615,0,0
上海,嘉定区,河南,郑州,0.035311746,0.703966332,0.449032971,0.024111708,0.630378194,0,0
上海,嘉定区,河南,驻马店,0,0,0,0.011762481,0,0,0
上海,嘉定区,浙江,宁波,0.795147459,0.71687018,0.931481808,0.232566731,0.705641819,0,0.324037136
上海,嘉定区,浙江,杭州,0.331037008,0.701114052,0,0.867496766,0.770111551,0,0
上海,嘉定区,湖北,武汉,0.558032803,0.019432781,0.63265753,0.750557775,0.701884482,0.659468938,0.189929496
上海,嘉定区,湖北,荆州,0,0,0,0.219200451,0.727177519,0,0
上海,嘉定区,福建,厦门,0,0,0,0,0,0.796613846,0
上海,嘉定区,福建,福州,0,0.51824925,0,0,0,0,0
上海,嘉定区,辽宁,大连,0,0,0,0.32169033,0,0,0
上海,嘉定区,辽宁,沈阳,0.084756475,0.459369953,0.336409987,0.209428735,0.449195987,0.111640802,0.430079825
上海,嘉定区,重庆,重庆,0.097657239,0.136339032,0.910529508,0.46652188,0.526549326,0,0.584677891
上海,嘉定区,陕西,西安,0.892713607,0.427092966,0.352109693,0.58734127,0.182654057,0.025138406,0.08967115
上海,嘉定区,青海,西宁,0.462998079,0,0,0,0.049414461,0,0
上海,嘉定区,香港,香港,0.585220754,0.032964931,0,0.041003926,0.362400777,0.935326984,0
上海,奉贤区,上海,上海,0.047389178,0.909200846,0.531703835,0.305644672,0.256839234,0.313312586,0.113752237
上海,奉贤区,北京,北京,0.534689323,0.305590093,0.244443865,0.576901816,0.3972348,0.203317591,0.871363484
上海,奉贤区,吉林,长春,0,0,0,0,0.098858378,0,0
上海,奉贤区,四川,德阳,0,0.014794568,0,0,0.38237912,0,0
上海,奉贤区,四川,成都,0.187961242,0.619310236,0.965568846,0.002604755,0.987861435,0.119526292,0.192509592
上海,奉贤区,天津,天津,0.715142919,0.434646461,0.051662261,0.855043253,0.208924136,0,0.048063098
上海,奉贤区,山东,德州,0.309439541,0.20624281,0.539813493,0.449568854,0.771068574,0.201966379,0.502493392
上海,奉贤区,山东,济南,0.288302007,0.662575374,0,0.107468605,0,0,0.40344155
上海,奉贤区,山东,青岛,0,0,0.478544702,0,0,0,0
上海,奉贤区,山西,大同,0,0,0,0.746700838,0.717135968,0,0.971661904
上海,奉贤区,广东,东莞,0,0,0,0.463727685,0.780926826,0,0.722865907
上海,奉贤区,广东,佛山,0.134698858,0.092560785,0,0,0.949656424,0,0.15185129
上海,奉贤区,广东,广州,0.134057084,0.426536992,0.410090732,0.00457629,0.88609049,0.265220806,0.359222988
上海,奉贤区,广东,惠州,0,0,0.231724109,0,0,0,0
上海,奉贤区,江苏,南京,0.152742462,0,0,0.88392776,0.39536385,0.746685716,0
上海,奉贤区,江苏,南通,0,0.373164421,0,0,0,0,0
上海,奉贤区,江苏,宿迁,0.631090173,0,0,0.924366435,0,0,0.38809238
上海,奉贤区,江苏,无锡,0,0,0,0,0,0,0.406987817
上海,奉贤区,江苏,泰州,0.472786975,0,0,0,0,0,0
上海,奉贤区,江苏,苏州,0.460358289,0.8408926,0.149136903,0.260678562,0.027990489,0.953977467,0.047166776
上海,奉贤区,河北,唐山,0,0,0,0,0.829061039,0,0
上海,奉贤区,河北,廊坊,0.02091246,0.355918685,0,0.760667489,0.54835052,0.71951566,0.141874244
上海,奉贤区,河北,张家口,0,0,0,0.401972877,0,0,0.356183112
上海,奉贤区,河北,石家庄,0,0,0,0.729020695,0,0,0
上海,奉贤区,河南,郑州,0,0.752964496,0,0.889240961,0.372265238,0,0
上海,奉贤区,河南,驻马店,0,0,0,0.401149011,0,0,0
上海,奉贤区,浙江,宁波,0.004243458,0.155169747,0.316265073,0.303330269,0.755823027,0,0.971161023
上海,奉贤区,浙江,杭州,0.451875131,0.622088728,0.92673468,0.222903978,0.474340504,0,0
上海,奉贤区,湖北,武汉,0.806973346,0.188514704,0.382203372,0.493261532,0.993663976,0.644372015,0.532265048
上海,奉贤区,湖北,荆州,0,0,0,0.549421481,0,0,0
上海,奉贤区,湖南,长沙,0,0,0,0,0,0,0.966188925
上海,奉贤区,福建,厦门,0.355162416,0,0,0,0,0,0
上海,奉贤区,辽宁,沈阳,0.903236688,0.126770506,0.284762166,0.624853776,0.128941502,0.593495932,0.29195858
上海,奉贤区,重庆,重庆,0.252907559,0.783325909,0.756569537,0.038582152,0.058863086,0,0.941298719
上海,奉贤区,陕西,咸阳,0,0,0,0,0.509258712,0,0
上海,奉贤区,陕西,西安,0.208913181,0.17910445,0.887914455,0.114377022,0.598420879,0.529079691,0.069089096
上海,奉贤区,青海,西宁,0,0,0,0,0.590366073,0,0
上海,奉贤区,香港,香港,0.481274357,0.952095444,0,0.078894144,0.999281189,0.168476154,0
上海,宝山区,上海,上海,0.194408901,0.75331209,0.345785224,0.699452216,0.506459547,0.518226492,0.732349126
上海,宝山区,内蒙古,呼和浩特,0,0,0,0.23539071,0.787614298,0,0
上海,宝山区,内蒙古,赤峰,0,0,0,0,0,0,0.944974707
上海,宝山区,北京,北京,0.865985281,0.491303023,0.313981624,0.111390299,0.866930385,0.262758844,0.305731565
上海,宝山区,吉林,长春,0,0,0,0.762359403,0.475500913,0,0
上海,宝山区,四川,德阳,0,0.557246137,0.397297751,0,0.482973678,0,0.18875174
上海,宝山区,四川,成都,0.681429123,0.035872274,0.951248419,0.54121113,0.446027371,0.103553523,0.876329161
上海,宝山区,天津,天津,0.76802826,0.376395313,0.147599066,0.967560608,0.378289548,0,0.642983948
上海,宝山区,宁夏,银川,0.795562514,0,0,0,0.361037174,0,0
